1301	이마
1302	이모	姨母
1303	이미	已
1304	이번	이 + 번
1305	이분	이 + 분
1306	이불	衾物
1307	이사	移徙
1308	이삿짐	이사 + 짐
1309	이상	以上
1310	이상	異常
1311	이십	二十
1312	이야기
1313	이용	利用
1314	이웃
1315	이월	二月
1316	이유	理由
1317	이전	以前
1318	이제
1319	이쪽	이 + 쪽
1320	이틀
1321	이해	理解
1322	이후	以後
1323	익다
1324	익숙하다	熟
1325	인기	人氣 / 人気
1326	인도네시아	Indonesia
1327	인분	人分
1328	인사	人事
1329	인삼	人蔘 / 人参
1330	인정받다	認定 + 받다
1331	인천	仁川
1332	인터넷	internet
1333	인형	人形
1334	일
1335	일	一
1336	일	日
1337	일곱
1338	일기	日記
1339	일본	日本
1340	일부	一部
1341	일식	日食
1342	일식집	日食 + 집
1343	일어나다	일어 + 나다
1344	일어서다	일어 + 서다
1345	일요일	日曜日
1346	일월	一月
1347	일주일	一週日 / 一週間
1348	일찍
1349	일흔
1350	읽다
1351	잃다
1352	잃어버리다	잃다 + 버리다
1353	입
1354	입구	入口
1355	입다
1356	입술	입 + 술
1357	입원	入院
1358	입장권	入場券
1359	입학	入學 / 入学
1360	입학시험	入學試驗 / 入学試験
1361	있다
1362	잊다
1363	잊어버리다	잊다 + 버리다
1364	잎
1365	자기소개	自己紹介
1366	자꾸
1367	자다
1368	자동차	自動車
1369	자동판매기	自動販賣機 / 自動販売機
1370	자라다
1371	자랑
1372	자르다
1373	자리
1374	자세히	仔細
1375	자식	子息
1376	자신	自身
1377	자연	自然
1378	자유	自由
1379	자장면	炸醬麵 / 炸酱面
1380	자전거	自轉車 / 自転車
1381	자주
1382	자판기	自販機
1383	작년	昨年
1384	작다
1385	잔
1386	잔치
1387	잘
1388	잘되다	잘 + 되다
1389	잘못	잘 + 못
1390	잘못되다	잘못 + 되다
1391	잘못하다	잘못 + 하다
1392	잘생기다	잘 + 생기다
1393	잘하다	잘 + 하다
1394	잠
1395	잠깐
1396	잠시	暫時
1397	잠자다	잠 + 자다
1398	잡다
1399	잡수시다
1400	잡지	雜誌 / 雑誌
