number	korean	english
1	가게	store
2	가격	price
3	가구	furniture
4	가깝다	close
5	가끔	sometimes
6	가늘다	thin
7	가다	go
8	가득	full
9	가르치다	teach
10	가리키다	point
11	가방	bag
12	가볍다	light
13	가수	singer
14	가슴	chest
15	가요	song
16	가운데	middle
17	가위	scissor
18	가을	autumn
19	가장	most, best
20	가져가다	take away
21	가져오다	bring
22	가족	family
23	가지	kind, sort
24	가지다	have
25	각각	each
26	간단하다	simple
27	간단히	simply
28	간식	snack
29	간장	soy sauce
30	간호사	nurse
31	갈비	rip, galbi
32	갈비탕	galbitang, short rip soup
33	갈색	brown
34	갈아입다	change
35	갈아타다	transfer
36	감	persimmon
37	감기	cold
38	감기약	cold medicine
39	감다	close
40	감다	wash
41	감사	thanks
42	감자	potato
43	갑자기	suddenly
44	값	value
45	강	river
46	강아지	puppy
47	강하다	strong
48	갖다	have
49	같다	same
50	같이	together
51	갚다	pay back
52	개	dog
53	개	(counting unit)
54	개월	month
55	거	thing
56	거기	there
57	거리	street, road
58	거리	distance
59	거실	living room
60	거울	mirror
61	거의	almost, nearly
62	거절	rejection
63	거짓말	lie
64	걱정	worry
65	건강	health
66	건너가다	cross over
67	건너다	cross
68	건너편	other side
69	건물	building
70	걷다	walk
71	걸다	hang
72	걸리다	be hung, catch
73	걸어가다	walk
74	걸어오다	walk
75	걸음	step
76	검사	inspection
77	검은색	black color
78	검정	black
79	것	thing
80	겉	outside
81	게으르다	lazy
82	게임	game
83	겨울	winter
84	결과	result
85	결석	absent
86	결심	determination
87	결정	decision
88	결혼	marriage
89	결혼식	wedding ceremony
90	경기	match
91	경찰	police
92	경찰서	police office
93	경치	scenery; view
94	경험	experience
95	계단	stairs
96	계란	egg
97	계산	calculation
98	계속	continue
99	계시다	be there, stay
100	계절	season
101	계획	plan
102	고개	head
103	고기	meat
104	고등학교	high school
105	고등학생	high school student
106	고르다	pick
107	고맙다	thank you
108	고모	aunt
109	고민	worry
110	고속버스	express bus
111	고양이	cat
112	고장	breakdown, failure
113	고추장	red pepper paste
114	고치다	fix
115	고프다	hungry
116	고향	hometown
117	곧	soon
118	곳	place
119	공	ball
120	공무원	public official
121	공부	study
122	공원	park
123	공장	factory
124	공짜	free
125	공책	notebook
126	공항	airport
127	공휴일	holiday
128	과거	past
129	과일	fruit
130	과자	sweets
131	관계	relationship
132	관광	tourism
133	관광객	tourist
134	관광지	tourist destination
135	관심	interest
136	광고	advertisement
137	광주	Gwangju
138	괜찮다	okay
139	괴로워하다	suffer
140	교과서	textbook
141	교사	teacher
142	교수	professor
143	교실	classroom
144	교육	education
145	교통	transportation
146	교통비	transportation fee
147	교통사고	traffic accident
148	교환	exchange
149	교회	church
150	구	nine
151	구경	sightseeing
152	구두	shoes
153	구름	cloud
154	구십	ninety
155	구월	September
156	국	soup
157	국내	domestic
158	국수	noodle
159	국적	nationality
160	국제	international
161	군인	soldier
162	굳다	harden/hard
163	굵다	thick, big
164	굽다	bake, roast, grill
165	궁금하다	curious
166	권	volume
167	귀	ear
168	귀걸이	earring
169	귀여워하다	love, adore
170	귀엽다	cute
171	귀찮다	bother, feel annoyed
172	규칙	rule
173	귤	tangerine
174	그	that
175	그거	it
176	그것	that
177	그곳	there
178	그날	that day
179	그냥	just
180	그대로	as it is
