number,check,korean,hanja,japanese,english,example,translation
801,,사장,,,president,사장이 되다,become a president
802,,사전,,,dictionary,사전을 찾다,look up dictionary
803,,사진,,,picture,카메라 사진,camera photo
804,,사탕,,,candy,사탕을 먹다,eat candy
805,,사흘,,,three days,시간,time
806,,산,,,mountain,산에 오르다,climb the mountain
807,,산책,,,walk,산책을 나가다,go out for a walk
808,,살,,,weight,살이 찌다,gain weight
809,,살,,,year old,세 살,three years old
810,,살다,,,live,오래 살다,live long
811,,삼,,,three,삼 년,three years
812,,삼거리,,,3-way intersection,삼거리가 나오다,A 3-way intersection appears
813,,삼겹살,,,pork belly,음식,food
814,,삼계탕,,,samgyetang (food),음식,food
815,,삼십,,,thirty,숫자,number
816,,삼월,,,March,달(월),month
817,,삼촌,,,uncle,친척,relatives
818,,상,,,award,상을 받다,win a prize
819,,상자,,,box,상자에 넣다,put into a box
820,,상처,,,wound,상처가 낫다,the wound heals
821,,상추,,,lettuce,식물,plant
822,,상품,,,product,상품을 팔다,sell goods
823,,새,,,bird,동물,animal
824,,새,,,new,새 옷,new clothes
825,,새로,,,newly,새로 사다,buy new
826,,새롭다,,,"new, fresh",기억이 새롭다,the memory is fresh
827,,새벽,,,dawn,새벽에 일어나다,wake up at dawn
828,,새해,,,new year,새해가 다가오다,new year is coming
829,,색,,,color,색깔,color
830,,색깔,,,color,색깔이 진하다,the color is dark
831,,샌드위치,,,sandwich,음식,food
832,,생각,,,thought,생각에 빠지다,lost in thought
833,,생각나다,,,think of,할 말이 생각나다,think of something to say
834,,생기다,,,be formed,건물이 생기다,a building is built
835,,생선,,,fish,생선을 굽다,grill fish
836,,생신,,,(honorific) birthday,생일,birthday
837,,생일,,,birthday,생일 파티,birthday party
838,,생활,,,life,직장 생활,work life
839,,샤워,,,shower,샤워를 하다,take a shower
840,,서너,,,three or four,서너 개,three or four
841,,서다,,,stand,똑바로 서다,stand upright
842,,서두르다,,,hurry,준비를 서두르다,rush to prepare
843,,서랍,,,drawer,서랍을 닫다,close a drawer
844,,서로,,,each other,서로 믿다,trust each other
845,,서류,,,document,문서,document
846,,서른,,,thirty,숫자,number
847,,서비스,,,service,서비스 정신,service spirit
848,,서양,,,western,동양,Eastern
849,,서울,,,Seoul,도시,city
850,,서점,,,bookstore,책방,bookstore
851,,서쪽,,,west,방향,direction
852,,섞다,,,mix,물을 섞다,mix water
853,,선물,,,gift,선물을 받다,receive a gift
854,,선배,,,senior,후배,Junior
855,,선생님,,,teacher,국어 선생님,Korean language teacher
856,,선선하다,,,cool,날씨가 선선하다,the weather is cool
857,,선수,,,player,축구 선수,soccer player
858,,선택,,,select,선택을 하다,make a choice
859,,선풍기,,,fan,선풍기를 켜다,turn on the fan
860,,설거지,,,dish wash,설거지를 하다,wash dishes
861,,설날,,,(Lunar) New Year,명절,holiday
862,,설렁탕,,,(food) seolleongtang,음식,food
863,,설명,,,explanation,설명을 듣다,listen to explanation
864,,설탕,,,sugar,설탕을 넣다,add sugar
865,,섬,,,island,제주도,Jeju island
866,,섭섭하다,,,"sorry, regrettable",서운하다,sad
867,,성,,,family name,김 씨,Mr. Kim
868,,성격,,,personality,성격이 좋다,have a good personality
869,,성공,,,success,실패,failure
870,,성적,,,grade,성적을 거두다,get results
871,,성함,,,name,성함을 묻다,ask for name
872,,세,,,three,숫자,number
873,,세,,,age,삼십 세,thirty years old
874,,세계,,,world,세계 여행,travel around the world
875,,세다,,,strong,주먹이 세다,have strong fists
876,,세배,,,New year's bow,세배를 드리다,bow down
877,,세상,,,world,세상이 넓다,the world is wide
878,,세수,,,wash up,얼굴 세수,face wash
879,,세우다,,,stand,자리에서 세우다,stand up
880,,세탁,,,laundry,세탁을 하다,do laundry
881,,세탁기,,,washing machine,세탁기를 돌리다,run a washing machine
882,,세탁소,,,"laundry, washhouse",세탁소에 옷을 맡기다,leave clothes at the laundromat
883,,센터,,,center,쇼핑 센터,shopping center
884,,센티미터,,,centimeter,단위,unit
885,,셋,,,three,숫자,number
886,,셋째,,,third,숫자,number
887,,소,,,cow,동물,animal
888,,소개,,,introduction,직업 소개,job introduction
889,,소고기,,,beef,소고기를 먹다,eat beef
890,,소금,,,salt,소금이 짜다,salt is salty
891,,소리,,,sound,소리가 나다,(something) make a sound
892,,소설,,,novel,고전 소설,classic novel
893,,소식,,,news,소식을 듣다,hear news
894,,소주,,,soju (beverage),소주를 마시다,drink soju
895,,소중하다,,,precious,친구가 소중하다,friends are precious
896,,소파,,,sofa,가구,furniture
897,,소포,,,parcel,우편,post
898,,소풍,,,picnic,소풍을 가다,go on a picnic
899,,소화제,,,digestive medicine,약,approximately
900,,속,,,inside,주머니 속,in your pocket
