number,check,korean,hanja,japanese,english,example,translation
1,,가게,家,家,store,가게에 가다,go to the store
2,,가격,價格,価格,price,가격이 비싸다,price is expensive
3,,가구,家具,家具,furniture,책상,a table
4,,가깝다,,,close,거리가 가깝다,the distance is close
5,,가끔,,,sometimes,가끔 보다,sometimes see
6,,가늘다,,,thin,손가락이 가늘다,fingers are thin
7,,가다,,,go,학교에 가다,go to school
8,,가득,,,full,가득 담다,fill something full
9,,가르치다,,,teach,한국어를 가르치다,teach Korean
10,,가리키다,,,point,손가락으로 가리키다,point with finger
11,,가방,,,bag,가방을 메다,carry a bag
12,,가볍다,,,light,짐이 가볍다,the load is light
13,,가수,歌手,歌手,singer,직업,job
14,,가슴,,,chest,신체,body
15,,가요,歌謠,歌謡,song,가요를 부르다,sing a song
16,,가운데,,,middle,가운데 자리,middle seat
17,,가위,,,scissor,가위로 자르다,cut using a scissor
18,,가을,,,autumn,계절,season
19,,가장,,,"most, best",가장 빠르다,fastest
20,,가져가다,,,take away,집에 가져가다,take sth/sb home
21,,가져오다,,,bring,학교로 가져오다,bring to school
22,,가족,家族,家族,family,식구,family member
23,,가지,,,"kind, sort",몇 가지,several kinds
24,,가지다,,,have,돈을 가지다,have money
25,,각각,各各,各各,each,각각 다르다,different from each other
26,,간단하다,簡單,簡単,simple,간단한 설명,brief explanation
27,,간단히,簡單,簡単,simply,간단히 끝내다,simply finish
28,,간식,間食,間食,snack,간식을 먹다,have a snack
29,,간장,간醬,醤油,soy sauce,간장을 넣다,add soy source
30,,간호사,看護師,看護師,nurse,간호가로 일하다,work as a nurse
31,,갈비,,,"rip, galbi",갈비를 먹다,eat galbi
32,,갈비탕,,,"galbitang, short rip soup",갈비탕을 먹다,eat galbitang
33,,갈색,褐色,褐色,brown,색깔,color
34,,갈아입다,,,change,옷을 갈아입다,change clothes
35,,갈아타다,,,transfer,기차를 갈아타다,transfer trains
36,,감,,,persimmon,과일,fruit
37,,감기,感氣,風邪,cold,감기에 걸리다,catch a cold
38,,감기약,感氣藥,風邪薬,cold medicine,감기약을 먹다,take cold medicine
39,,감다,,,close,눈을 감다,close eyes
40,,감다,,,wash,머리를 감다,wash one's hair
41,,감사,感謝,感謝,thanks,감사 인사,gratitude greeting
42,,감자,,,potato,채소,vegetable
43,,갑자기,,,suddenly,갑자기 나타나다,suddenly appear
44,,값,,,value,값을 깎다,cut/reduce the price
45,,강,江,川,river,강을 건너다,cross the river
46,,강아지,,,puppy,강아지를 키우다,raise a puppy
47,,강하다,,,strong,힘이 강하다,power/energy is strong
48,,갖다,,,have,돈을 갖다,have money
49,,같다,,,same,서로 같다,same as each other
50,,같이,,,together,같이 살다,live together
51,,갚다,,,pay back,돈을 갚다,pay back money
52,,개,,,dog,동물,animal
53,,개,,,(counting unit),사과 한 개,one apple
54,,개월,,,month,삼 개월,March
55,,거,,,thing,것,thing
56,,거기,,,there,거기에 있다,it's there
57,,거리,,,"street, road",거리로 나가다,take to the street
58,,거리,距離,距離,distance,거리가 가깝다,distance is close
59,,거실,居室,居室,living room,집,home
60,,거울,,,mirror,거울을 보다,look at a mirror
61,,거의,,,"almost, nearly",거의 없다,almost none
62,,거절,拒絶,拒絶,rejection,거절을 하다,refuse
63,,거짓말,,,lie,거짓말을 하다,lie; tell a lie
64,,걱정,,,worry,걱정이 되다,be worried
65,,건강,健康,健康,health,건강이 나빠지다,health becomes bad
66,,건너가다,,,cross over,길을 건너가다,cross the road
67,,건너다,,,cross,길을 건너다,cross the road
68,,건너편,,,other side,건너편으로 가다,go cross the street
69,,건물,建物,建物,building,건물을 짓다,build a building
70,,걷다,,,walk,길을 걷다,walk down the street
71,,걸다,,,hang,그림을 걸다,hang a picture
72,,걸리다,,,"be hung, catch",그림이 걸리다,take a picture
73,,걸어가다,,,walk,학교에 걸어가다,walk to school
74,,걸어오다,,,walk,집에 걸어오다,walk home
75,,걸음,,,step,걸음이 느리다,walk slowly
76,,검사,檢査,検査,inspection,숙제 검사,homework check
77,,검은색,,,black color,색깔,color
78,,검정,,,black,색깔,color
79,,것,,,thing,먹을 것,something to eat
80,,겉,,,outside,안과 겉,inside and outside
81,,게으르다,,,lazy,게으른 사람,a lazy person
82,,게임,,,game,컴퓨터 게임,computer game
83,,겨울,,,winter,계절,season
84,,결과,結果,結果,result,결과가 나오다,result comes out
85,,결석,缺席,欠席,absent,결석을 하다,be absent
86,,결심,決心,決心,determination,결심을 하다,make up one's mind
87,,결정,決定,決定,decision,결정을 내리다,make a decision
88,,결혼,結婚,結婚,marriage,결혼을 하다,get married
89,,결혼식,結婚式,結婚式,wedding ceremony,결혼식을 올리다,hold a wedding
90,,경기,競技,競技,match,경기를 보다,watch a game
91,,경찰,警察,警察,police,경찰 조사(기관),police investigation (agency)
92,,경찰서,警察署,警察署,police office,경찰서에 신고하다,report to the police
93,,경치,景色,景色,scenery; view,경치가 좋다,the view is nice
94,,경험,經驗,経験,experience,경험을 쌓다,gain experience
95,,계단,階段,階段,stairs,계단을 오르다,go up the stairs
96,,계란,鷄卵,鶏卵,egg,계란을 먹다,eat eggs
97,,계산,計算,計算,calculation,계산이 정확하다,calculation is correct
98,,계속,繼續,継続,continue,계속 달리다,keep running
99,,계시다,,,"be there, stay",한국에 계시다,be in Korea
100,,계절,季節,季節,season,계절이 바뀌다,seasons change
101,,계획,計劃,計画,plan,계획을 세우다,make a plan
102,,고개,,,head,고개를 들다,raise one's head
103,,고기,,,meat,고기를 먹다,eat meat
104,,고등학교,高等學校,高等学校,high school,고등학교에 입학하다,enter high school
105,,고등학생,高等學生,高等学生,high school student,고등학생이 되다,become high school student
106,,고르다,,,pick,선물을 고르다,choose a gift
107,,고맙다,,,thank you,마음이 고맙다,thanks for your heart
108,,고모,姑母,姑母,aunt,친척,relatives
109,,고민,苦悶,苦悶,worry,고민을 나누다,share concerns
110,,고속버스,高速,高速,express bus,고속버스를 타다,take the express bus
111,,고양이,,,cat,고양이를 기르다,raise a cat
112,,고장,故障,故障,"breakdown, failure",고장이 나다,break down
113,,고추장,,,red pepper paste,고추장을 넣다,add red pepper paste
114,,고치다,,,fix,컴퓨터를 고치다,fix the computer
115,,고프다,,,hungry,배가 고프다,(belly) be hungry
116,,고향,故鄕,故郷,hometown,고향에 가다,go to hometown
117,,곧,,,soon,곧 가다,go soon
118,,곳,,,place,어느 곳,which place
119,,공,,,ball,공을 굴리다,roll a ball
120,,공무원,公務員,公務員,public official,공무원으로 일하다,work as a public official
121,,공부,工夫,工夫,study,공부를 하다,study
122,,공원,公園,公園,park,공원에서 놀다,play in the park
123,,공장,工場,工場,factory,공장에서 일하다,work in a factory
124,,공짜,,,free,공짜로 주다,give free
125,,공책,空冊,空冊,notebook,공책에 쓰다,write in a notebook
126,,공항,空港,空港,airport,공항 터미널,airport terminal
127,,공휴일,公休日,公休日,holiday,공휴일로 정하다,set as a holiday
128,,과거,過去,過去,past,과거를 잊다,forget the past
129,,과일,果實,果実,fruit,과일을 깎다,peel the fruit
130,,과자,菓子,菓子,sweets,과자를 먹다,eat snacks
131,,관계,關係,関係,relationship,관계를 맺다,form a relationship
132,,관광,觀光,観光,tourism,국내 관광,domestic tourism
133,,관광객,觀光客,観光客,tourist,외국인 관광객,foreign tourist
134,,관광지,觀光地,観光地,tourist destination,국내 관광지,domestic tourist site
135,,관심,關心,関心,interest,관심을 가지다,have interest
136,,광고,廣告,広告,advertisement,신문 광고,newspaper advertisement
137,,광주,光州,光州,Gwangju,지명,place name
138,,괜찮다,,,okay,성격이 괜찮다,have a good personality
139,,괴로워하다,,,suffer,통증으로 괴로워하다,suffer from pain
140,,교과서,敎科書,教科書,textbook,교과서에서 배우다,learn from textbook
141,,교사,敎師,教師,teacher,수학 교사,math teacher
142,,교수,敎授,教授,professor,대학 교수,university professor
143,,교실,敎室,教室,classroom,교실에 들어가다,enter the classroom
144,,교육,敎育,教育,education,교육을 받다,get educated
145,,교통,交通,交通,transportation,교통 수단,means of transportation
146,,교통비,交通費,交通費,transportation fee,교통비가 들다,cost trasportation fee
147,,교통사고,交通事故,交通事故,traffic accident,교통사고가 나다,have an accident
148,,교환,交換,交換,exchange,교환을 하다,exchange
149,,교회,敎會,教会,church,기독교,Christian
150,,구,九,九,nine,숫자,number
151,,구경,見物,見物,sightseeing,구경을 다니다,go sightseeing
152,,구두,,,shoes,구두를 신다,wear shoes
153,,구름,,,cloud,구름이 끼다,be cloudy
154,,구십,九十,九十,ninety,구십 살,ninety years
155,,구월,九月,九月,September,달(월),month
156,,국,,,soup,국을 끓이다,boil soup
157,,국내,國內,国内,domestic,국내 여행,domestic travel
158,,국수,,,noodle,국수를 먹다,eat noodle
159,,국적,國籍,国籍,nationality,대한민국 국적,Korean nationality
160,,국제,國際,国際,international,국제 관계,international relations
161,,군인,軍人,軍人,soldier,직업 군인,professional soldier
162,,굳다,,,harden/hard,땅이 굳다,the ground is hard
163,,굵다,,,"thick, big",손가락이 굵다,fingers are thick
164,,굽다,,,"bake, roast, grill",고기를 굽다,grill meat
165,,궁금하다,,,curious,소식이 궁금하다,be curious about the news
166,,권,卷,巻,volume,책 한 권,a book
167,,귀,,,ear,귀로 듣다,listen with ears
168,,귀걸이,,,earring,귀걸이를 달다,wear earrings
169,,귀여워하다,,,"love, adore",강아지를 귀여워하다,adore a puppy
170,,귀엽다,,,cute,얼굴이 귀엽다,have a cute face
171,,귀찮다,,,"bother, feel annoyed",일이 귀찮다,tired of work
172,,규칙,規則,規則,rule,규칙을 어기다,break the rule
173,,귤,橘,橘,tangerine,귤을 까다,peel a tangerine
174,,그,,,that,그 사람,that person
175,,그거,,,it,그것,that
176,,그것,,,that,그것을 사겠다,I will buy that
177,,그곳,,,there,그곳에 가다,go there
178,,그날,,,that day,그날 일,that day's work
179,,그냥,,,just,그냥 가다,just go
180,,그대로,,,as it is,그대로 두다,leave it as it is
181,,그동안,,,meantime,그동안 잘 지내다,be fine in the meantime
182,,그때,,,at that time,그때 그시절,back then
183,,그래,,,"yes, ok",대답,answer
184,,그래서,,,therefore,−,
185,,그러나,,,but,−,
186,,그러니까,,,so,−,
187,,그러면,,,then,−,
188,,그러므로,,,therefore,−,
189,,그런,,,such,그런 사람,such the person
190,,그런데,,,by the way,−,
191,,그럼,,,then,그러면,then
192,,그럼,,,"yes, of course","그럼, 당연하지","well, of course"
193,,그렇다,,,yes,사정이 그렇다,that's the case
194,,그렇지만,,,but,−,
195,,그릇,,,bowl,그릇에 담다,put in a bowl
196,,그리고,,,and,−,
197,,그리다,,,draw,그림을 그리다,draw a picture
198,,그림,,,figure,그림을 그리다,draw a picture
199,,그립다,,,miss,가족이 그립다,miss family
200,,그만,,,stop,그만 먹다,stop eating
201,,그만두다,,,"quit, leave",학교를 그만두다,leave school
202,,그분,,,him,그분을 만나다,meet him
203,,그저께,,,day before yesterday,그저께 밤,the night before yesterday
204,,그쪽,,,"that way, there",그쪽으로 가다,go there
205,,그치다,,,stop,비가 그치다,the rain stops
206,,극장,劇場,劇場,theater,극장에서 상영하다,show at the theater
207,,근처,近處,近処,"around, near",집 근처,near house
208,,글,,,writing,글을 쓰다,write a text
209,,글쎄,,,well,"글쎄, 잘 몰라요","Well, I don't know"
210,,글쎄요,,,well,글쎄요. 몰라요.,Well. I don't know
211,,글씨,,,writing,글씨를 쓰다,write a letter
212,,글자,文字,文字,letter,글자를 쓰다,write a character
213,,금방,,,a moment ago,방금,just now
214,,금요일,金曜日,金曜日,friday,요일,day of the week
215,,금지,禁止,禁止,"ban, prohibition",통행 금지,prohibition of passing
216,,급하다,急,急,in a hurry,사정이 급하다,be in a hurry
217,,기간,期間,期間,period,기간이 지나다,period has passed
218,,기다리다,,,wait,버스를 기다리다,wait for a bus
219,,기르다,,,"cultivate, raise",개를 기르다,raise a dog
220,,기름,,,oil,기름에 튀기다,fry in oil
221,,기말시험,期末試驗,期末試験,final exam,기말 시험을 보다,take a final exam
222,,기분,氣分,気分,mood,기분이 좋다,feel good
223,,기뻐하다,,,be happy,졸업을 기뻐하다,be happy at graduation
224,,기쁘다,,,happy,마음이 기쁘다,be happy
225,,기쁨,,,pleasure,기쁨을 나누다,share the happiness
226,,기숙사,寄宿舍,寄宿舎,dormitory,기숙사에서 살다,live in a dormitory
227,,기억,記憶,記憶,memory,기억이 나다,remember
228,,기억나다,記憶,記憶,remember,이름이 기억나다,remember one's name
229,,기온,氣溫,気温,temperature,기온이 높다,the temperature is high
230,,기자,記者,記者,reporter,신문 기자,newspaper reporter
231,,기차,汽車,汽車,train,기차를 타다,take a train
