number	korean	example_ko	example_en
400	닮다	아버지를 닮았어요	resemble my father
401	담배	담배를 피우지 마세요	don't smoke tobacco
402	답	답을 찾았어요	found the answer
403	답답하다	가슴이 답답해요	chest feels stuffy
404	답장	답장을 보냈어요	sent reply
405	대	컴퓨터 세 대가 있어요	there are three computers
406	대구	대구에 살아요	live in Daegu
407	대답	질문에 대답해 주세요	answer the question please
408	대부분	대부분의 사람이 좋아해요	most people like it
409	대사관	한국 대사관에 가요	go to Korean embassy
410	대전	대전에서 왔어요	came from Daejeon
411	대학	대학을 졸업했어요	graduated from university
412	대학교	대학교에 다녀요	go to university
413	대학생	저는 대학생이에요	I am college student
414	대학원	대학원에 진학해요	enter graduate school
415	대화	친구랑 대화를 해요	have conversation with friend
416	대회	대회에 참가했어요	participated in competition
417	댁	선생님 댁은 어디예요	where is teacher's home
418	더	물을 더 주세요	give me more water
419	더럽다	옷이 더러워요	clothes are dirty
420	더욱	더욱 열심히 해요	do more harder
421	덕분	선생님 덕분이에요	thanks to teacher
422	던지다	공을 던져요	throw the ball
423	덥다	오늘 날씨가 더워요	today's weather is hot
424	데려가다	병원에 데려가요	take to hospital
425	데려오다	집으로 데려왔어요	brought to home
426	데이트	남자친구랑 데이트해요	date with boyfriend
427	도	온도가 20도예요	temperature is 20 degrees
428	도로	도로가 넓어요	road is wide
429	도서관	도서관에서 공부해요	study at library
430	도시	서울은 큰 도시예요	Seoul is big city
431	도와주다	친구를 도와줘요	help the friend
432	도움	도움이 필요해요	need help
433	도착	공항에 도착했어요	arrived at airport
434	독서	주말에 독서를 해요	do reading on weekend
435	독일	독일에 가 봤어요	have been to Germany
436	돈	돈이 필요해요	need money
437	돈가스	점심에 돈가스를 먹어요	eat pork cutlet for lunch
438	돌	돌이 많아요	stones are many
439	돌다	지구가 돌아요	earth spins
440	돌려주다	책을 돌려줬어요	gave book back
441	돌리다	고개를 돌려요	turn my head
442	돌아가다	집으로 돌아가요	return home
443	돌아오다	여행에서 돌아왔어요	came back from travel
444	돕다	친구를 도와요	help friend
445	동네	우리 동네가 좋아요	our town is nice
446	동대문	동대문에서 쇼핑해요	shop at Dong Dae Moon
447	동물	동물을 좋아해요	like animals
448	동물원	주말에 동물원에 가요	go to zoo on weekend
449	동생	동생이 세 명이에요	have three younger siblings
450	동시	동시에 시작해요	start simultaneously
451	동안	일주일 동안 쉬어요	rest for one week
452	동전	동전이 많아요	coins are many
453	동쪽	동쪽으로 가세요	go to east
454	돼지	돼지를 키워요	raise pig
455	돼지고기	돼지고기를 먹어요	eat pork
456	되다	의사가 되고 싶어요	want to become doctor
457	-되다	팔리는 것을 팔려요	be sold
458	된장	된장이 짜요	soybean paste is salty
459	된장찌개	된장찌개를 끓여요	boil soybean paste stew
460	두	사과 두 개예요	two apples
461	두껍다	두꺼운 책을 샀어요	bought thick book
462	두다	책상 위에 둬요	put on desk
463	두부	두부를 좋아해요	like tofu
464	두세	두세 시간 걸려요	takes two to three hours
465	두통	두통이 심해요	headache is severe
466	둘	모두 둘이에요	all together two
467	둘째	둘째 아들이에요	second son
468	뒤	뒤에 앉아요	sit in back
469	뒤쪽	뒤쪽으로 가세요	go to back direction
470	드디어	드디어 도착했어요	finally arrived
471	드라마	한국 드라마를 봐요	watch Korean drama
472	드리다	선물을 드려요	give gift
473	듣다	음악을 들어요	listen to music
474	들다	돈이 많이 들어요	costs a lot of money
475	들다	짐을 들어 주세요	lift the luggage please
476	들르다	집에 잠깐 들러요	drop by home briefly
477	들리다	소리가 잘 들려요	sound is heard well
478	들어가다	방에 들어가요	enter the room
479	들어오다	교실에 들어와요	come into classroom
480	등	등이 아파요	back hurts
481	등산	주말에 등산을 가요	go climbing on weekend
482	디자인	디자인이 예뻐요	design is pretty
483	따뜻하다	따뜻한 물을 주세요	give me warm water
484	따로	따로 계산해 주세요	calculate separately please
485	딸	딸이 두 명이에요	have two daughters
486	딸기	딸기가 달아요	strawberry is sweet
487	땀	땀을 많이 흘려요	sweat a lot
488	땅	땅을 팔아요	sell land
489	때	그때가 좋았어요	that time was good
490	떠나다	고향을 떠났어요	left hometown
491	떠들다	시끄럽게 떠들어요	talk noisily
492	떡	떡을 먹어요	eat rice cake
493	떡국	설날에 떡국을 먹어요	eat rice cake soup on New Year
494	떡볶이	떡볶이가 맵지 않아요	tteokbokki is not spicy
495	떨어지다	사과가 떨어졌어요	apple fell
496	또	또 만나요	meet again
497	또는	커피 또는 차를 마셔요	drink coffee or tea
498	똑같다	크기가 똑같아요	size is same
499	똑같이	똑같이 나눠 주세요	divide equally please
