number,check,korean,japanese,english,example,translation
1301,,이마,,forehead,신체,body
1302,,이모,,aunt,친척,relatives
1303,,이미,,already,이미 끝나다,already over
1304,,이번,,this time,이번 주,this week
1305,,이분,,this person,그분,that person
1306,,이불,,quilt,이불을 덮다,cover with a blanket
1307,,이사,,move (house),이사를 가다,move out
1308,,이삿짐,,moving,이삿짐을 싸다,pack to move
1309,,이상,,above,한 시간 이상,more than an hour
1310,,이상,,"strange, unusual",이상 기온,abnormal temperature
1311,,이십,,twenty,숫자,number
1312,,이야기,,story,이야기를 들려주다,tell a story
1313,,이용,,use,이용이 많다,a lot of use
1314,,이웃,,neighborhood,이웃 나라,neighboring country
1315,,이월,,February,달(월),month
1316,,이유,,reason,이유를 묻다,ask for reason
1317,,이전,,previous,이전의 경험,previous experience
1318,,이제,,now,이제부터,from now on
1319,,이쪽,,this,이쪽으로 향하다,head this way
1320,,이틀,,two days,이틀이 지나다,two days pass
1321,,이해,,understanding,이해가 쉽다,easy to understand
1322,,이후,,after,이후의 삶,later life
1323,,익다,,ripe,과일이 익다,fruit ripens
1324,,익숙하다,,be used to,기계에 이숙하다,get familiar with a machine
1325,,인기,,popularity,인기가 많다,popular
1326,,인도네시아,,Indonesia,나라,country
1327,,인분,,servings,삼 인분,3 servings
1328,,인사,,greetings,아침 인사,morning greetings
1329,,인삼,,ginseng,인삼을 달이다,brew ginseng
1330,,인정받다,,be recognized,능력을 인정받다,be recognized for ability
1331,,인천,,Incheon,지명,place name
1332,,인터넷,,internet,인터넷에 접속하다,access the internet
1333,,인형,,doll,인형 놀이,doll play
1334,,일,,work,일이 쌓이다,work piles up
1335,,일,,one,숫자,number
1336,,일,,day,삼 일,three days
1337,,일곱,,seven,숫자,number
1338,,일기,,diary,일기를 쓰다,write a diary
1339,,일본,,Japan,나라,country
1340,,일부,,part,일부 지역,some areas
1341,,일식,,Japanese food,음식,food
1342,,일식집,,Japanese restaurant,이식점에서 먹다,eat at a restaurant
1343,,일어나다,,wake up,일찍 일어나다,wake up early
1344,,일어서다,,stand up,자리에서 일어서다,stand up
1345,,일요일,,Sunday,요일,day of the week
1346,,일월,,January,달(월),month
1347,,일주일,,one week,일주일이 걸리다,take a week
1348,,일찍,,early,일찍 일어나다,wake up early
1349,,일흔,,seventy,숫자,number
1350,,읽다,,Ready,책을 읽다,read book
1351,,잃다,,lose,물건을 잃다,lose an item
1352,,잃어버리다,,lose (regretfully),물건을 잃어버리다,lose an item
1353,,입,,mouth,입을 열다,open one's mouth
1354,,입구,,entrance,지하철,subway
1355,,입다,,wear,옷을 입다,put on clothes
1356,,입술,,lips,신체,body
1357,,입원,,hospitalization,입원 환자,inpatient
1358,,입장권,,admission ticket,입장권을 사다,buy a ticket
1359,,입학,,admission,대학 입학,college admissions
1360,,입학시험,,entrance exam,입학시험에 합격하다,pass the entrance exam
1361,,있다,,"be at, have",집에 있다,stay at home
1362,,잊다,,forget,번호를 잊다,forget a number
1363,,잊어버리다,,forget (regretfully),번호를 잊어버리다,forget a number
1364,,잎,,leaf,잎이 떨어지다,a leaf falls
1365,,자기소개,,self-introduction,자기소개를 하다,introduce oneself
1366,,자꾸,,repeatedly,자꾸 반복하다,keep repeating
1367,,자다,,sleep,잠을 자다,sleep
1368,,자동차,,car,자동차를 운전하다,drive a car
1369,,자동판매기,,vending machine,자동판매기를 누르다,press the vending machine
1370,,자라다,,grow up,나무가 자라다,tree grows
1371,,자랑,,proud,자랑을 하다,brag
1372,,자르다,,cut,머리를 자르다,cut hair
1373,,자리,,seat,자리에 앉다,take a seat
1374,,자세히,,details,자세히 알다,know in detail
1375,,자식,,child,자식을 기르다,raise children
1376,,자신,,self,나 자신,myself
1377,,자연,,nature,자연으로 돌아가다,return to nature
1378,,자유,,freedom,자유를 누리다,enjoy freedom
1379,,자장면,,jajangmyeon (food),음식,food
1380,,자전거,,bicycle,자전거를 타다,ride a bicycle
1381,,자주,,often,자주 만나다,meet often
1382,,자판기,,vending machine,커피 자판기,coffee vending machine
1383,,작년,,last year,시간,time
1384,,작다,,small,얼굴이 작다,have a small face
1385,,잔,,"cup, glass",커피 잔,coffee cup
1386,,잔치,,"feast, party",생일 잔치,birthday party
1387,,잘,,well,잘 알다,know well
1388,,잘되다,,go well,일이 잘되다,work is going well
1389,,잘못,,wrong,잘못이 많다,there are many mistakes
1390,,잘못되다,,be wrong,순서가 잘못되다,be in wrong order
1391,,잘못하다,,do wrong,선택을 잘못하다,make a wrong choice
1392,,잘생기다,,handsome,얼굴이 잘생기다,have a handsome face
1393,,잘하다,,do well,외국어를 잘하다,be good at foreign language
1394,,잠,,sleep,잠을 자다,sleep
1395,,잠깐,,for a moment,잠깐 기다리다,wait a moment
1396,,잠시,,for a while,잠시 기다리다,wait for a while
1397,,잠자다,,sleep,새근새근 잠자다,sleep peacefully
1398,,잡다,,catch,손을 잡다,hold hands
1399,,잡수시다,,(honorific) eat,진지를 잡수시다,have a meal
1400,,잡지,,magazine,잡지를 보다,read a magazine
